mlbam_id,name,norm_name,mlb_team,il_type,status_code,status_desc
640462,A.J. Puk,aj puk,AZ,60-day,D60,Injured 60-Day
831004,AJ Soldra,aj soldra,LAD,full-season,ILF,Injured - Full Season
605156,Aaron Brooks,aaron brooks,TB,full-season,ILF,Injured - Full Season
694551,Aaron Combs,aaron combs,PHI,7-day,D7,Injured 7-Day
592450,Aaron Judge,aaron judge,NYY,10-day,D10,Injured 10-Day
830799,Abraham Gomez,abraham gomez,DET,60-day,D60,Injured 60-Day
834675,Abraham Negrin,abraham negrin,CLE,60-day,D60,Injured 60-Day
826168,Adam Bloebaum,adam bloebaum,WSH,60-day,D60,Injured 60-Day
669445,Adam Laskey,adam laskey,COL,60-day,D60,Injured 60-Day
800049,Adam Mazur,adam mazur,MIA,60-day,D60,Injured 60-Day
671969,Adam Tulloch,adam tulloch,CLE,7-day,D7,Injured 7-Day
680718,Addison Barger,addison barger,TOR,60-day,D60,Injured 60-Day
800012,Adilson Peralta,adilson peralta,PHI,7-day,D7,Injured 7-Day
666969,Adolis García,adolis garcia,PHI,60-day,D60,Injured 60-Day
806583,Adonys Perez,adonys perez,AZ,60-day,D60,Injured 60-Day
605288,Adrian Houser,adrian houser,SF,60-day,D60,Injured 60-Day
692037,Adrian Quintana,adrian quintana,SEA,60-day,D60,Injured 60-Day
830397,Adrian Torres,adrian torres,LAD,60-day,D60,Injured 60-Day
692368,Adrián Sugastey,adrian sugastey,SF,7-day,D7,Injured 7-Day
827604,Aidan Deakins,aidan deakins,TEX,60-day,D60,Injured 60-Day
826538,Aidan Foeller,aidan foeller,LAD,7-day,D7,Injured 7-Day
815067,Aidan Longwell,aidan longwell,COL,7-day,D7,Injured 7-Day
835318,Aidan Redahan,aidan redahan,COL,7-day,D7,Injured 7-Day
828140,Aidan West,aidan west,LAD,7-day,D7,Injured 7-Day
807026,Aiden Taggart,aiden taggart,TOR,7-day,D7,Injured 7-Day
804109,Aiva Arquette,aiva arquette,MIA,7-day,D7,Injured 7-Day
814085,Alan Reyes,alan reyes,STL,60-day,D60,Injured 60-Day
827286,Albert Ortiz,albert ortiz,MIA,60-day,D60,Injured 60-Day
839016,Albert Pena,albert pena,BOS,60-day,D60,Injured 60-Day
805696,Albert Polanco,albert polanco,MIA,full-season,ILF,Injured - Full Season
839408,Albert Ramos,albert ramos,ATH,60-day,D60,Injured 60-Day
