mlb_id,pitcher,team,starts_this_week,start_dates
677958,Kumar Rocker,TEX,2,2026-07-27;2026-08-02
669923,George Kirby,SEA,2,2026-07-27;2026-08-02
672456,Keider Montero,DET,2,2026-07-27;2026-08-02
680694,Kyle Bradish,BAL,2,2026-07-27;2026-08-02
656605,Mitch Keller,PIT,2,2026-07-27;2026-08-02
518876,Merrill Kelly,AZ,2,2026-07-27;2026-08-02
663969,Tyler Phillips,MIA,2,2026-07-27;2026-08-01
554430,Zack Wheeler,PHI,2,2026-07-27;2026-08-02
453286,Max Scherzer,TOR,2,2026-07-27;2026-08-02
804267,Zac Thornton,NYM,2,2026-07-27;2026-08-01
527048,Martín Pérez,ATL,2,2026-07-27;2026-08-01
608331,Max Fried,NYY,2,2026-07-27;2026-08-01
669461,Matthew Liberatore,STL,2,2026-07-27;2026-08-02
656849,David Peterson,CHC,2,2026-07-27;2026-08-01
700712,Walbert Ureña,LAA,2,2026-07-27;2026-08-02
678022,Jack Perkins,ATH,2,2026-07-27;2026-08-01
801139,Payton Tolle,BOS,2,2026-07-27;2026-08-01
641816,Tyler Mahle,SF,2,2026-07-27;2026-08-01
695505,Chase Burns,CIN,2,2026-07-28;2026-08-02
668909,Gavin Williams,CLE,2,2026-07-28;2026-08-02
643377,Griffin Jax,TB,2,2026-07-28;2026-08-02
645261,Sandy Alcantara,MIA,2,2026-07-28;2026-08-02
676917,Cade Cavalli,WSH,2,2026-07-28;2026-08-02
671737,Taj Bradley,MIN,2,2026-07-28;2026-08-02
607625,Seth Lugo,KC,2,2026-07-28;2026-08-02
641743,Anthony Kay,CWS,2,2026-07-28;2026-08-02
543037,Gerrit Cole,NYY,2,2026-07-28;2026-08-02
607067,Colin Rea,CHC,2,2026-07-28;2026-08-02
663567,Peter Lambert,HOU,2,2026-07-28;2026-08-02
695611,Gage Jump,ATH,2,2026-07-28;2026-08-02
687562,Jake Bennett,BOS,2,2026-07-28;2026-08-02
694738,Landen Roupp,SF,2,2026-07-28;2026-08-02
606996,Kyle Hart,SD,2,2026-07-29;2026-08-02
678868,Eddy Yean,WSH,1,2026-07-27
702273,Noah Schultz,CWS,1,2026-07-27
837227,Tatsuya Imai,HOU,1,2026-07-27
687075,Brandon Sproat,MIL,1,2026-07-27
677944,Slade Cecconi,CLE,1,2026-07-28
657571,Caleb Ferguson,CIN,1,2026-07-28
675512,Troy Melton,DET,1,2026-07-28
665152,Dean Kremer,BAL,1,2026-07-28
696149,Bubba Chandler,PIT,1,2026-07-28
694297,Brandon Pfaadt,AZ,1,2026-07-28
615698,Cal Quantrill,TEX,1,2026-07-28
605400,Aaron Nola,PHI,1,2026-07-28
669456,Shane Bieber,TOR,1,2026-07-28
700241,Michael McGreevy,STL,1,2026-07-28
672282,Reid Detmers,LAA,1,2026-07-28
650633,Michael King,SD,1,2026-07-28
547179,Michael Lorenzen,COL,1,2026-07-28
701656,Logan Henderson,MIL,1,2026-07-28
680736,Justin Wrobleski,LAD,1,2026-07-28
622491,Luis Castillo,SEA,1,2026-07-28
687473,Ryan Gusto,MIA,1,2026-07-29
666200,Jesús Luzardo,PHI,1,2026-07-29
683003,Jared Jones,PIT,1,2026-07-29
593958,Eduardo Rodriguez,AZ,1,2026-07-29
641793,Zack Littell,WSH,1,2026-07-29
702056,Trey Yesavage,TOR,1,2026-07-29
669373,Tarik Skubal,DET,1,2026-07-29
669432,Trevor Rogers,BAL,1,2026-07-29
640455,Sean Manaea,NYM,1,2026-07-29
700363,AJ Smith-Shawver,ATL,1,2026-07-29
681035,Christian Scott,NYM,1,2026-07-29
519242,Chris Sale,ATL,1,2026-07-29
657277,Logan Webb,SF,1,2026-07-29
623381,Thomas Pannone,MIL,1,2026-07-29
687312,Gabriel Hughes,COL,1,2026-07-29
668984,Casey Legumina,TB,1,2026-07-29
669022,MacKenzie Gore,TEX,1,2026-07-29
663903,Brady Singer,CIN,1,2026-07-29
676282,Joey Cantillo,CLE,1,2026-07-29
657746,Joe Ryan,MIN,1,2026-07-29
677976,Randy Dobnak,KC,1,2026-07-29
663436,Davis Martin,CWS,1,2026-07-29
693645,Cam Schlittler,NYY,1,2026-07-29
669160,Dustin May,STL,1,2026-07-29
571510,Matthew Boyd,CHC,1,2026-07-29
680570,Grayson Rodriguez,LAA,1,2026-07-29
669713,Hayden Wesneski,HOU,1,2026-07-29
682052,Jacob Lopez,ATH,1,2026-07-29
663776,Patrick Sandoval,BOS,1,2026-07-29
641778,Eric Lauer,LAD,1,2026-07-29
676106,Emerson Hancock,SEA,1,2026-07-29
663556,Shane McClanahan,TB,1,2026-07-30
668390,Cole Winn,TEX,1,2026-07-30
641927,Bailey Ober,MIN,1,2026-07-30
702070,Noah Cameron,KC,1,2026-07-30
680732,Sean Burke,CWS,1,2026-07-30
677960,Ryan Weathers,NYY,1,2026-07-30
669467,Andre Pallante,STL,1,2026-07-30
665871,Javier Assad,CHC,1,2026-07-30
695076,Rhett Lowder,CIN,1,2026-07-30
670990,Yohan Ramírez,PIT,1,2026-07-30
690997,Nolan McLean,NYM,1,2026-07-30
691587,Eury Pérez,MIA,1,2026-07-30
656550,Grant Holmes,ATL,1,2026-07-30
663623,Jake Irvin,WSH,1,2026-07-30
686930,Mason Barnett,ATH,1,2026-07-30
543243,Sonny Gray,BOS,1,2026-07-30
676664,JP Sears,SD,1,2026-07-30
592662,Robbie Ray,SF,1,2026-07-30
808963,Roki Sasaki,LAD,1,2026-07-30
