"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","1","Jpanner","Active","24","437","23","100%","0%","115","1.57","173","10","20","61","28","0","0","12","8","19"
"*05u6q*","Cam Schlittler","NYY","SP","4","JMerkle","Active","25","374","17.81","99%","0%","123","2.20","145","9","30","93","25","0","0","12","4","21"
"*052c8*","Cristopher Sanchez","PHI","SP","6","Sethmc44","Active","29","353","16.81","100%","0%","132.2","2.71","151","11","40","133","25","0","0","14","4","21"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","10","zyoung51","Active","27","335","18.61","100%","0%","119.2","2.78","113","10","37","80","25","0","0","14","3","18"
"*01uca*","Chris Sale","ATL","SP","18","zyoung51","Active","37","319","17.72","100%","0%","105","2.06","123","10","24","86","25","0","0","11","9","18"
"*01sb3*","Zack Wheeler","PHI","SP","23","KRetiree","Active","36","309","20.6","99%","0%","93","2.13","108","10","22","61","22","0","0","11","2","15"
"*03caf*","Foster Griffin","WSH","SP,RP","25","Coop","Active","30","307","15.35","92%","0%","117.1","2.68","111","11","35","94","27","0","0","11","7","20"
"*03df2*","Dylan Cease","TOR","SP","30","Sasso","Active","30","301","16.72","100%","0%","104.1","2.67","155","6","31","74","45","0","0","8","3","18"
"*05rb3*","Chase Burns","CIN","SP","33","Coop","Active","23","296","16.44","100%","0%","102.2","2.54","118","11","29","77","37","0","0","9","0","18"
"*05wru*","Paul Skenes","PIT","SP","36","GoldTY","Active","24","291","13.86","100%","0%","115.1","3.43","138","9","44","94","26","0","0","10","7","21"
"*04n0m*","Logan Gilbert","SEA","SP","38","KRetiree","Active","29","290","14.5","100%","0%","120","3.38","129","8","45","93","25","0","0","9","5","20"
"*05ucd*","Mason Miller","SD","RP","48","kyfaess","Active","27","283","7.26","99%","0%","40.2","0.89","75","2","4","20","14","25","0","0","1","39"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","9","Greenbet","Active","32","282","2.94","100%","0%","85.2","1.79","95","8","17","55","26","0","0","12","6","96"
"*0260v*","Sonny Gray","BOS","SP","49","kyfaess","Active","36","281","15.61","99%","0%","101.2","2.48","90","12","28","86","28","0","0","13","3","18"
"*05a2d*","Max Meyer","MIA","SP","51","Kipp","Active","27","279","13.95","95%","0%","111","2.68","121","9","33","85","41","0","0","7","7","20"
"*051bm*","Louis Varland","TOR","RP","52","GoldTY","Active","28","279","6.2","89%","0%","50","1.08","68","3","6","35","13","20","5","0","0","45"
"*041r1*","Jesus Luzardo","PHI","SP","54","CLANK","Active","28","277","13.85","99%","0%","115.1","3.43","143","9","44","102","37","0","0","10","7","20"
"*05tzn*","Parker Messick","CLE","SP","59","Hutch","Active","25","276","14.53","98%","0%","112","2.73","110","8","34","84","36","0","0","7","1","19"
"*05y7s*","Nolan McLean","NYM","SP","62","joeybats","Active","24","273","13.65","99%","0%","113.1","3.34","135","7","42","83","41","0","0","11","13","20"
"*04ps7*","Joe Ryan","MIN","SP","66","Hutch","Active","30","271","12.9","99%","0%","114.1","3.38","131","6","43","101","25","0","0","11","5","21"
"*05jp7*","Gavin Williams","CLE","SP","73","KRetiree","Active","26","265","13.25","99%","0%","119.1","4.00","145","10","53","100","37","0","0","7","3","20"
"*04eor*","Cade Smith","CLE","RP","80","CLANK","Active","27","261","6.07","99%","0%","45.1","2.78","65","3","14","38","11","28","0","0","1","43"
"*029si*","Eduardo Rodriguez","ARI","SP","84","zyoung51","Active","33","256","12.8","92%","0%","116.2","2.62","82","8","34","101","41","0","0","12","0","20"
"*02hjp*","Jacob deGrom","TEX","SP","74","kyfaess","Active","38","253","13.32","100%","0%","105.1","3.76","128","7","44","87","24","0","0","8","0","19"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","90","Sethmc44","Active","26","252","15.75","89%","0%","100.1","2.69","73","10","30","82","20","0","0","11","3","16"
